NAME,LATITUDE,LONGITUDE,TYPE
Dan Knott,53.44556262,-113.4564031,Ball Diamond
Ritchie,53.51052103,-113.4807882,Ball Diamond
Rosslyn,53.59326228,-113.5120301,Ball Diamond
Ellerslie,53.42726339,-113.4403793,Ball Diamond
St Lucy,53.62382542,-113.5275398,Ball Diamond
McKee,53.48703795,-113.5102201,Ball Diamond
Avalon,53.49309187,-113.5229078,Ball Diamond
Sweet Grass,53.46320002,-113.5257896,Ball Diamond
Monsignor Fee Otterson,53.41695065,-113.5208976,Ball Diamond
Thornecliffe,53.51677537,-113.6201244,Ball Diamond
Sakaw,53.4418097,-113.4284674,Ball Diamond
Capilano,53.55562672,-113.4248985,Ball Diamond
McLeod,53.6111466,-113.4301453,Ball Diamond
St Bernadette,53.57339789,-113.4023524,Ball Diamond
Bishop Savaryn,53.62294302,-113.5071594,Ball Diamond
Holyrood,53.53179491,-113.450487,Ball Diamond
Callingwood Park,53.50837165,-113.6254211,Ball Diamond
Callingwood Park,53.50757422,-113.6261672,Ball Diamond
Grovenor,53.54510865,-113.5668624,Ball Diamond
Parkallen,53.50458459,-113.5180819,Ball Diamond
Lansdowne,53.48710662,-113.5439413,Ball Diamond
Kildare,53.60545726,-113.4567354,Ball Diamond
Ottewell,53.53195614,-113.4378126,Ball Diamond
St Rose,53.52193454,-113.5693655,Ball Diamond
Lauderdale,53.5884326,-113.5016345,Ball Diamond
MLavallee,53.52694347,-113.4746928,Ball Diamond
Lago Lindo,53.63501016,-113.4856508,Ball Diamond
Holy Family,53.44676776,-113.4058916,Ball Diamond
Silver Berry E,53.45833035,-113.380986,Ball Diamond
The Meadows,53.45506875,-113.3715192,Ball Diamond
Eaux Claires,53.62201784,-113.4842445,Ball Diamond
JH Picard,53.50704903,-113.4839916,Ball Diamond
Abbottsfield,53.57486023,-113.3903133,Ball Diamond
Herb Link,53.62521469,-113.5324032,Ball Diamond
St. Thomas Aquinas,53.39868361,-113.5576067,Ball Diamond
Mill Creek,53.51531727,-113.4818876,Ball Diamond
Meyonohk,53.45632896,-113.4548672,Ball Diamond
Allin Pk,53.532817,-113.5968167,Ball Diamond
Sweet Grass,53.46313194,-113.5265225,Ball Diamond
Tevie Miller,53.50161119,-113.5256263,Ball Diamond
Ellerslie,53.42698873,-113.4411502,Ball Diamond
Velma E Baker,53.47943228,-113.3864577,Ball Diamond
St Theresa,53.45949871,-113.5294415,Ball Diamond
Keheewin,53.45110378,-113.504312,Ball Diamond
Archbishop Joseph MacNeil,53.46118193,-113.5784146,Ball Diamond
Ste Jeanne D'Arc,53.52056077,-113.4303823,Ball Diamond
St. Kateri,53.47457349,-113.4001724,Ball Diamond
LaPerle E,53.53366092,-113.6351445,Ball Diamond
St Maria Goretti,53.58556109,-113.4101125,Ball Diamond
St Kevin,53.53949795,-113.4561477,Ball Diamond
Queen Mary Park,53.55649508,-113.5146274,Ball Diamond
Malcolm Tweedle,53.47700488,-113.4554575,Ball Diamond
St Theresa,53.4591666,-113.5279337,Ball Diamond
Ermineskin,53.45741064,-113.5043058,Ball Diamond
Kensington,53.59545464,-113.5303096,Ball Diamond
Rundle Park,53.55799581,-113.3861254,Ball Diamond
Newton,53.57589083,-113.4288473,Ball Diamond
Balwin,53.58800844,-113.4580384,Ball Diamond
Jasper Place,53.52614634,-113.6061291,Ball Diamond
Lago Lindo,53.63621517,-113.4851167,Ball Diamond
