NAME,LATITUDE,LONGITUDE,TYPE
Mayfield Community League Playground,53.555303,-113.595464,Playground
Allendale School,53.500973,-113.50244,Playground
Lorelei Playground,53.623188,-113.501579,Playground
Russ Barnes Arena/ Santa Rosa Park,53.574036,-113.44651,Playground
Rio Terrace Playground,53.508337,-113.58964,Playground
Airway Park,53.560864,-113.514342,Playground
Canon Ridge,53.580437,-113.378499,Playground
West Meadowlark Community League,53.529289,-113.606268,Playground
Borden Park,53.561857,-113.453582,Playground
Lansdowne Community League,53.486835,-113.546046,Playground
Callingwood Playground,53.508309,-113.621887,Playground
Pleasantview Sch,53.494961,-113.503344,Playground
Montrose School,53.572302,-113.435505,Playground
Glengarry Park,53.595854,-113.476635,Playground
Kernohan,53.593434,-113.383565,Playground
Carlisle Playground,53.605017,-113.523752,Playground
Rosslyn Playground,53.594136,-113.512246,Playground
Minchau School,53.468897,-113.40876,Playground
Creek's Crossing Park/Blessed Kateri,53.475593,-113.400569,Playground
,53.641047,-113.505929,Playground
Central Hill Park,53.606719,-113.500061,Playground
York Community League/Steele Heights,53.602017,-113.433542,Playground
Queen Mary Park School,53.555628,-113.514451,Playground
Rundle Park,53.55516,-113.386348,Playground
Twin Brooks,53.443317,-113.526948,Playground
St Paul,53.533495,-113.571835,Playground
Laurier Heights School Playground,53.517072,-113.567134,Playground
Elsinore/Chambery Park,53.641201,-113.505622,Playground
Westmount Back Alley Park,53.552329,-113.547237,Playground
Beverly Heights Park Tot Lot,53.560941,-113.400918,Playground
Edmonton Chris,53.556088,-113.567665,Playground
James Ramsay Park,53.481082,-113.581321,Playground
Mt. Royal Sch,53.5689,-113.424661,Playground
Potter Greens Playground #2,53.517662,-113.675223,Playground
Capilano School,53.555805,-113.422175,Playground
Queen Elizabeth Park,53.525338,-113.494724,Playground
Ellerslie Crossing,53.42891,-113.458439,Playground
Lynnwood,53.516406,-113.587388,Playground
Suder Greens,53.521009,-113.684503,Playground
Ermineskin Park,53.456861,-113.506023,Playground
Balwin Park,53.587138,-113.456135,Playground
Bessie Nichols School Playground,53.486341,-113.672525,Playground
Kitchener Park,53.544307,-113.518814,Playground
Terwillegar South Park,53.439869,-113.58027,Playground
Sherbrooke Playground,53.574815,-113.548285,Playground
Elmwood Community League,53.516113,-113.605837,Playground
Brookside School,53.491247,-113.568702,Playground
Larkspur Park,53.480349,-113.38705,Playground
Secord,53.532371,-113.7058,Playground
Gabrielle Roy School,53.529852,-113.462188,Playground
Glastonbury Park (The Grange),53.506555,-113.667468,Playground
Oxford Park,53.618061,-113.547904,Playground
Virginia Park School,53.560419,-113.449744,Playground
Athlone Park,53.589151,-113.545913,Playground
Orchards,53.411773,-113.470903,Playground
Ellerslie Elementary School,53.425679,-113.442226,Playground
Carlisle Playground,53.605111,-113.52402,Playground
Rideau School,53.477885,-113.504652,Playground
Prince Charles Playground,53.574456,-113.536758,Playground
Ellerslie Elementary School,53.425738,-113.442135,Playground
Our Lady of Mount Carmel,53.513184,-113.50234,Playground
St Maria Goretti,53.585753,-113.407081,Playground
Glengarry School,53.595586,-113.484664,Playground
Rosenthal,53.51709,-113.699334,Playground
John J. Olinyk Park,53.568538,-113.412989,Playground
Alberta Avenue NW,53.571276,-113.483832,Playground
Calder Community League Playground,53.586316,-113.52828,Playground
Borden Park,53.561833,-113.454131,Playground
Overlanders Playground,53.581129,-113.387773,Playground
St Martin,53.488852,-113.523579,Playground
James Ramsay Park,53.480959,-113.581292,Playground
Creek's Crossing Park/Blessed Kateri,53.475249,-113.400152,Playground
Blackmud Park,53.420107,-113.512827,Playground
Eaux Claires Park Playground,53.621883,-113.486018,Playground
Weinlos School,53.461444,-113.415831,Playground
Abbotsfield Playground,53.573601,-113.389813,Playground
Waverley,53.523686,-113.4342,Playground
Lymburn School Playground,53.506354,-113.64753,Playground
Henri Legay,53.603739,-113.421417,Playground
St. Vladimir,53.592582,-113.457679,Playground
St Monica,53.490716,-113.573493,Playground
Mee-Yah-Noh School,53.587554,-113.482795,Playground
Knob Hill Park,53.531771,-113.47972,Playground
Mayliewan (St John Bosco School) Park,53.621879,-113.459063,Playground
Glenora,53.544012,-113.554941,Playground
Charles Simmonds Park,53.515317,-113.530811,Playground
Parkdale School,53.567688,-113.472183,Playground
CASA Centre,53.49965,-113.506961,Playground
Hillview School,53.46809,-113.426602,Playground
Greenfield Sch,53.472585,-113.525918,Playground
Kinsmen Park Senior,53.52671,-113.509101,Playground
Westmount Playground,53.555897,-113.541624,Playground
Sister Annata Brockman,53.490274,-113.683409,Playground
Abbott School,53.574703,-113.392308,Playground
Talmud Torah,53.499394,-113.62178,Playground
Belmont,53.593357,-113.393605,Playground
St. Francis,53.5885,-113.443086,Playground
Meyokumin School,53.450066,-113.429408,Playground
Mount Royal,53.567389,-113.424232,Playground
Bonnie Doon Park,53.527662,-113.470526,Playground
William Hawrelak Park,53.52679,-113.544553,Playground
Kinross-Kerr Park,53.475941,-113.59658,Playground
Westview Village School Playground,53.553179,-113.692003,Playground
Donnan Park/Arena,53.515335,-113.468689,Playground
Hairsine Community League,53.60379,-113.390788,Playground
Westglen,53.555004,-113.542432,Playground
Emily Murphy Park,53.534165,-113.538733,Playground
Glenwood Community League,53.535861,-113.604909,Playground
Allan Grey Park,53.511689,-113.462215,Playground
Inglewood Tot Lot,53.561041,-113.531827,Playground
Summerside 58,53.412834,-113.446434,Playground
Kildare Park,53.605685,-113.456001,Playground
Magrath Heights,53.449412,-113.559623,Playground
Garneau Community League,53.519855,-113.513171,Playground
,53.596951,-113.560166,Playground
Dechene Playground,53.491407,-113.63682,Playground
Ozerna Park,53.621087,-113.448356,Playground
Mount Pleasant Park,53.495348,-113.500413,Playground
Greenfield Sch,53.472671,-113.526172,Playground
Crawford Plains School,53.44089,-113.404398,Playground
Ken Newman Playground,53.553795,-113.580952,Playground
Windermere Ridge,53.440776,-113.629687,Playground
Cardinal Leger,53.606281,-113.47533,Playground
King Edward Park,53.513848,-113.460467,Playground
Kenilworth Park,53.522691,-113.43765,Playground
Mayliewan (St John Bosco School) Park,53.622052,-113.459285,Playground
Delwood School/Park,53.596599,-113.457338,Playground
Lendrum/Avalon School,53.491285,-113.522878,Playground
John Paul School,53.47151,-113.426494,Playground
Gordon Drynan Park,53.546115,-113.609435,Playground
Laurier Park Playground,53.509446,-113.553263,Playground
Malmo Plains School,53.485215,-113.530228,Playground
Oliver Arena/ Community League,53.545605,-113.525817,Playground
Afton School,53.526786,-113.6088,Playground
,53.640044,-113.428298,Playground
Rundle Heights School,53.562019,-113.392463,Playground
Aspen Gardens Community League,53.474935,-113.542992,Playground
Rundle Park,53.555139,-113.386037,Playground
Sweetgrass School,53.462854,-113.529558,Playground
Sakaw School,53.440951,-113.430073,Playground
Brightview School,53.548789,-113.587795,Playground
Jackie Parker Park,53.484393,-113.423195,Playground
Holy Family,53.447182,-113.403672,Playground
St Clare,53.571827,-113.438122,Playground
Brittania Youngstown Community League,53.548457,-113.598114,Playground
St Vincent,53.548619,-113.560783,Playground
Woodcroft Sch,53.567189,-113.56075,Playground
Summerlea Playground,53.527008,-113.624372,Playground
Henderson Park,53.46886,-113.597833,Playground
Central Hill Park,53.606836,-113.500297,Playground
Crestwood Tot Lot,53.538869,-113.575141,Playground
Tipaskan School,53.462622,-113.459927,Playground
St. Edmund School Playground,53.590832,-113.524672,Playground
Silver Heights Park,53.532718,-113.46461,Playground
Rutherford Sch,53.522498,-113.467972,Playground
Hardisty,53.548066,-113.429645,Playground
Westglen Playground,53.555011,-113.543874,Playground
Rainbow Valley Campground,53.485094,-113.555555,Playground
Malcolm Tweddle School,53.476746,-113.457027,Playground
Parkdale School,53.567665,-113.47219,Playground
Blackmud Park,53.42036,-113.513212,Playground
Forest Heights School,53.544215,-113.452799,Playground
Blackburne,53.429428,-113.499439,Playground
Hairsine Community League,53.603346,-113.390056,Playground
Ecole Frere Antoine School,53.460093,-113.448957,Playground
Queen Mary CL,53.554221,-113.52468,Playground
MacEwan,53.429397,-113.53036,Playground
Kinsmen Park Senior,53.526855,-113.50907,Playground
Dunluce,53.622426,-113.528323,Playground
Elmwood Community League,53.515915,-113.606077,Playground
Glastonbury Park West,53.505632,-113.672543,Playground
Canon Ridge,53.580837,-113.378457,Playground
Magrath Heights,53.449597,-113.559605,Playground
Glenora,53.544128,-113.555319,Playground
Idylwylde Park,53.523285,-113.451558,Playground
Prince Rupert School,53.562263,-113.519538,Playground
Forest Heights Park,53.545373,-113.453692,Playground
R. J. Scott,53.568884,-113.400981,Playground
St Justins,53.517228,-113.622181,Playground
Beverly Heights Park Tot Lot,53.560903,-113.40092,Playground
Jamieson Place Playground,53.49042,-113.650559,Playground
Jackie Parker Park,53.484076,-113.421981,Playground
Charles Simmonds Park,53.515686,-113.531021,Playground
Windermere Park,53.427144,-113.622708,Playground
Garneau School West,53.522109,-113.514668,Playground
Empire Park Community League,53.486091,-113.508576,Playground
Delton Tot Lot,53.579556,-113.4894,Playground
Grovenor Playground,53.545726,-113.568536,Playground
Baturyn Park,53.632766,-113.504602,Playground
Wellington Park Playground,53.596481,-113.550355,Playground
Spruce Avenue Playground,53.565579,-113.49707,Playground
Brander Gardens School,53.493446,-113.577755,Playground
Blue Quill Community,53.458002,-113.524493,Playground
Rosslyn Tot Playground,53.597945,-113.498718,Playground
Eastwood School,53.574854,-113.464878,Playground
Mayfield Community League Playground,53.555131,-113.595074,Playground
Dunluce Community League Playground,53.62368,-113.525081,Playground
Lendrum Place Community League,53.493969,-113.524165,Playground
Ecole Ste. Jeanne D'Arc,53.520724,-113.430418,Playground
Lendrum/Avalon School,53.491312,-113.523091,Playground
Glendale School,53.53663,-113.600483,Playground
Fulton PIace School,53.545376,-113.425482,Playground
Robert Carter Park,53.464599,-113.5751,Playground
St. Boniface,53.477312,-113.537266,Playground
Richard Secord,53.477396,-113.533504,Playground
Hodgson Park,53.458592,-113.558903,Playground
Keyano Park,53.589736,-113.527318,Playground
Lendrum Place Community League,53.494304,-113.523869,Playground
St Teresa,53.458047,-113.527944,Playground
Ellingson Park,53.503167,-113.517633,Playground
St. Patrick School,53.574476,-113.489478,Playground
McKernan School,53.513715,-113.523566,Playground
Beverly Heights Lions Playground,53.56731,-113.40719,Playground
St. Richard School,53.446173,-113.429203,Playground
Chalmers Park Playground,53.590833,-113.534185,Playground
Newton School,53.576178,-113.427396,Playground
Argyll Park,53.505153,-113.463651,Playground
Klarvatten,53.633112,-113.475721,Playground
Rio Terrace Sch,53.508702,-113.587078,Playground
Ekota School,53.450126,-113.442054,Playground
Mother Teresa School,53.551845,-113.476138,Playground
Terwillegar Towne East,53.446632,-113.575345,Playground
Winterburn School Playground,53.534402,-113.687359,Playground
Grandview School,53.499097,-113.5462,Playground
Albert G. Nickel Park Playground,53.597035,-113.559739,Playground
Evansdale School/Park,53.610414,-113.482297,Playground
Inglewood Playground,53.566193,-113.539338,Playground
Alberta Avenue NW,53.57099,-113.483979,Playground
Riverdale Park,53.54138,-113.473232,Playground
Lee Ridge School,53.471312,-113.446159,Playground
Bonnie Doon Park,53.527382,-113.471052,Playground
Westwood Community League Park,53.576164,-113.499561,Playground
Summerside 58,53.412975,-113.446532,Playground
Victoria Park,53.533937,-113.523658,Playground
