NAME,LATITUDE,LONGITUDE,TYPE
John Barnett,53.61026563,-113.45094,Soccer Field
LaPerle W,53.53252835,-113.6417187,Soccer Field
Garneau,53.52261931,-113.514743,Soccer Field
Elmwood,53.51573155,-113.6072191,Soccer Field
St Elizabeth,53.46932497,-113.4530816,Soccer Field
Elmwood,53.51472108,-113.6055737,Soccer Field
Clareview Park,53.60396705,-113.4060898,Soccer Field
Meadowlark,53.52544152,-113.595348,Soccer Field
Beaumaris,53.61733483,-113.4960549,Soccer Field
St Justin,53.51699122,-113.6192794,Soccer Field
Foote Field,53.50312276,-113.5259826,Soccer Field
Club Soccer,53.4275358,-113.4133971,Soccer Field
Hazeldean,53.50482667,-113.4777954,Soccer Field
Ozerna,53.62128347,-113.4497711,Soccer Field
Vernon Barford,53.47371291,-113.540932,Soccer Field
Daly Grove,53.44880612,-113.4009742,Soccer Field
Ogilvie,53.4634744,-113.5615448,Soccer Field
Ozerna,53.62247413,-113.4515737,Soccer Field
Club Soccer,53.42862836,-113.4145802,Soccer Field
Greenfield,53.47321675,-113.5266921,Soccer Field
Westbrook,53.4746809,-113.5409406,Soccer Field
Foote Field,53.50310786,-113.5247211,Soccer Field
Aldergrove,53.51869391,-113.6333438,Soccer Field
Father Lacombe,53.5905708,-113.5055106,Soccer Field
Father Lacombe,53.59013234,-113.505477,Soccer Field
Twin Brooks,53.44148961,-113.5268957,Soccer Field
St Theresa,53.45891786,-113.5289487,Soccer Field
Braemar,53.53197973,-113.4289044,Soccer Field
Mayfield,53.55494441,-113.5957511,Soccer Field
Delwood,53.59582001,-113.4563304,Soccer Field
Earl Buxton,53.47438559,-113.584705,Soccer Field
Evansdale,53.61017606,-113.4837272,Soccer Field
St Francis Xavier,53.53076175,-113.6049784,Soccer Field
St Brendan,53.52938802,-113.4255953,Soccer Field
Overlander,53.58099513,-113.3880771,Soccer Field
Ekota,53.44768924,-113.4432992,Soccer Field
Velma E Baker,53.48031999,-113.383508,Soccer Field
St Brendan,53.5294239,-113.4241222,Soccer Field
Anne Fitzgerald,53.59509817,-113.3826043,Soccer Field
Westview Village,53.55347827,-113.6920343,Soccer Field
Bannerman,53.60444604,-113.3800268,Soccer Field
St Edmund,53.59027349,-113.5265302,Soccer Field
Newton,53.57650662,-113.4277745,Soccer Field
St Charles,53.6319375,-113.5023417,Soccer Field
Frere Antoine,53.45945106,-113.4511962,Soccer Field
